Filename,Width,Height,Test Time (ns),Average Time (ns)
machine.jpg,640,480,7203662,8650192
cube.jpg,1024,1792,38181623,38636721
build.jpg,1326,1920,45364986,48704142
dog.jpg,482,640,7605785,8174334
street.jpg,1920,1280,42277938,44812794
car.jpg,1280,720,19893301,18850451
lake.jpg,1280,855,21415619,22790092
platinum.jpg,2026,2866,96953936,100439813
cat.jpg,1280,853,28868779,23529333
car2.jpg,2560,1440,66946661,70964954
female2.jpg,3840,2160,147138747,144893012
bakery.jpg,3993,2894,188280576,194543499
earth.jpg,7680,4320,575042600,589884111
mountain.jpg,1792,1024,30690035,34136586
female.jpg,1920,1080,36323372,36166624
cupoi.jpg,5965,3648,359886007,351548543
