Filename,Width,Height,Test Time (ns),Average Time (ns)
machine.jpg,640,480,9037994,8223767
cube.jpg,1024,1792,41763803,40601381
build.jpg,1326,1920,52168496,51737632
dog.jpg,482,640,7774175,8413494
street.jpg,1920,1280,51169454,51187368
car.jpg,1280,720,20535212,19672735
lake.jpg,1280,855,22050814,22802717
platinum.jpg,2026,2866,128683501,105711887
cat.jpg,1280,853,23995444,25262356
car2.jpg,2560,1440,91055159,91622171
female2.jpg,3840,2160,162079582,161999987
bakery.jpg,3993,2894,217481637,212243424
earth.jpg,7680,4320,624256459,627863219
mountain.jpg,1792,1024,34355502,35281145
female.jpg,1920,1080,38117675,37395930
cupoi.jpg,5965,3648,375397468,373757436
