Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,412245,631296,346322,139067,1581917,3110847
cube.jpg,1024x1792,1408519,2855827,1789119,383429,6954076,13390970
build.jpg,1312x1920,1708373,3583086,2378129,477362,6830049,14976999
dog.jpg,480x640,389514,645995,304950,142313,1641996,3124768
street.jpg,1920x1280,1671874,3358905,2244035,417595,27911340,35603749
car.jpg,1280x720,781420,1429692,705511,237359,1750614,4904596
lake.jpg,1280x848,960471,1619998,857825,267096,10993339,14698729
platinum.jpg,2016x2864,4081150,7534046,6481834,1411391,16727584,36236005
cat.jpg,1280x848,885252,1612671,838535,252938,8396948,11986344
car2.jpg,2560x1440,2597470,4779401,3348671,682798,17624325,29032665
female2.jpg,3840x2160,6832470,10351514,9552241,1995349,19546830,48278404
bakery.jpg,3984x2880,12363729,14526555,13796445,2905834,23044220,66636783
earth.jpg,7680x4320,35772963,44224006,39748132,8242278,84362645,212350024
mountain.jpg,1792x1024,1322670,2543740,1478406,336720,10900754,16582290
female.jpg,1920x1072,1612433,2919982,1815143,426463,3614011,10388032
cupoi.jpg,5952x3648,25052420,29329240,27013305,5637892,110796137,197828994
