Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,321559,854265,236466,45500,92298,1550088
cube.jpg,1024x1792,2121927,5194137,1681729,379702,653619,10031114
build.jpg,1312x1920,2601318,6482081,2241403,510164,491496,12326462
dog.jpg,480x640,309306,930515,237090,37683,97242,1611836
street.jpg,1920x1280,2384298,5707392,2065157,438037,670064,11264948
car.jpg,1280x720,959321,2299786,622084,105661,162441,4149293
lake.jpg,1280x848,1286892,2955527,964096,202461,387082,5796058
platinum.jpg,2016x2864,5622411,13377850,5211807,1327773,1171903,26711744
cat.jpg,1280x848,1145833,2757787,720093,133293,292904,5049910
car2.jpg,2560x1440,3540241,8299454,2946348,775314,804905,16366262
female2.jpg,3840x2160,8343483,17899106,7235234,1712504,1385318,36575645
bakery.jpg,3984x2880,15326864,24902985,10169379,2394573,2062303,54856104
earth.jpg,7680x4320,44657465,71423330,29412982,6557373,5114958,157166108
mountain.jpg,1792x1024,1835236,4331789,1097771,203381,438717,7906894
female.jpg,1920x1072,2097292,4984277,1385993,282810,298847,9049219
cupoi.jpg,5952x3648,28863891,49824521,19776258,4332196,4460647,107257513
