Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,393684,874557,266140,124955,421698,2081034
cube.jpg,1024x1792,1698331,4363901,1421710,460384,1806121,9750447
build.jpg,1312x1920,2362495,5477291,1974675,615444,2254604,12684509
dog.jpg,480x640,397986,959935,240824,123524,431013,2153282
street.jpg,1920x1280,2168684,5308310,1844308,554873,4483223,14359398
car.jpg,1280x720,861048,1997202,691428,276026,703213,4528917
lake.jpg,1280x848,1020836,2346804,722435,272036,1724404,6086515
platinum.jpg,2016x2864,4734115,10847869,5739893,1388862,4595841,27306580
cat.jpg,1280x848,1040262,2441750,647099,280785,1547117,5957013
car2.jpg,2560x1440,2986881,6950304,2929072,642924,3767277,17276458
female2.jpg,3840x2160,7358488,18691444,8386619,1925011,7010679,43372241
bakery.jpg,3984x2880,12205121,23360558,12442911,2724652,7982315,58715557
earth.jpg,7680x4320,36038677,64979920,37463544,7501040,24060480,170043661
mountain.jpg,1792x1024,1790388,4194810,1715518,509462,2409353,10619531
female.jpg,1920x1072,1827453,4066494,1506050,427416,1521949,9349362
cupoi.jpg,5952x3648,27323048,53249331,23768901,5045068,23805937,133192285
