Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1588809,3544934,653673,315614,341726,6444756
cube.jpg,1024x1792,6960207,17124224,3225653,1375162,1341752,30026998
build.jpg,1312x1920,9935091,22893402,4310708,1920761,1305157,40365119
dog.jpg,480x640,1909550,4238309,718614,397823,405801,7670097
street.jpg,1920x1280,9449305,21426604,4278856,1953156,2045133,39153054
car.jpg,1280x720,3949331,8341138,1644381,736973,573303,15245126
lake.jpg,1280x848,4452196,9642056,1879600,831018,845045,17649915
platinum.jpg,2016x2864,19963756,48469673,9178906,3860110,3075499,84547944
cat.jpg,1280x848,4430161,9828869,1925369,847427,942591,17974417
car2.jpg,2560x1440,13397429,30396529,5860772,2714342,2279747,54648819
female2.jpg,3840x2160,28141921,66832268,11890171,5362919,3529841,115757120
bakery.jpg,3984x2880,45642063,90644362,16057009,6962774,4478485,163784693
earth.jpg,7680x4320,131811425,250927637,45927001,19697310,9689671,458053044
mountain.jpg,1792x1024,7003920,15669120,3100566,1412229,1243797,28429632
female.jpg,1920x1072,7660170,17078286,3521944,1592666,899043,30752109
cupoi.jpg,5952x3648,84116859,169066574,30346149,12679444,10150241,306359267
