Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1283360,4160767,698825,150832,1717461,8011245
cube.jpg,1024x1792,7134927,23483864,4325516,932461,9096908,44973676
build.jpg,1312x1920,9895939,31434742,5766135,1340303,11161327,59598446
dog.jpg,480x640,1191587,4494054,686324,139420,1844910,8356295
street.jpg,1920x1280,9228207,29317561,5464263,1195852,25744082,70949965
car.jpg,1280x720,3463045,11150187,1865220,404868,3313510,20196830
lake.jpg,1280x848,4483809,13300716,2290423,462375,10130334,30667657
platinum.jpg,2016x2864,23557220,68949431,13211376,3116772,26550386,135385185
cat.jpg,1280x848,4186261,13750154,2258717,468962,8686873,29350967
car2.jpg,2560x1440,15801545,42798681,7732865,1897603,20858429,89089123
female2.jpg,3840x2160,36351562,94851286,18552383,4339505,36677016,190771752
bakery.jpg,3984x2880,56438732,131512777,26187319,5987942,46182810,266309580
earth.jpg,7680x4320,165010488,372669796,75013643,17809017,146764593,777267537
mountain.jpg,1792x1024,7067781,22036244,3942126,775170,12553677,46374998
female.jpg,1920x1072,7964491,24609213,4387594,909119,7718855,45589272
cupoi.jpg,5952x3648,106692597,247234009,49477035,11945285,131698416,547047342
