Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,12833830,34861875,4818951,1498583,905161,54918400
cube.jpg,1024x1792,79788387,197231157,30459333,13449431,5768682,326696990
build.jpg,1312x1920,107660018,269795558,45368475,12499627,6014369,441338047
dog.jpg,480x640,12664846,32980297,4421743,1446865,893339,52407090
street.jpg,1920x1280,104428874,268681106,45098878,16895189,10117358,445221405
car.jpg,1280x720,39171079,95908459,13434195,4188429,1977287,154679449
lake.jpg,1280x848,46450051,121173268,19042383,7462782,3980060,198108544
platinum.jpg,2016x2864,246122577,582540982,87382178,43252279,14481054,973779070
cat.jpg,1280x848,45807191,120813868,17591552,7073637,3837270,195123518
car2.jpg,2560x1440,156459202,387175085,67964816,25274459,11327375,648200937
female2.jpg,3840x2160,361167378,774742217,126940702,60784385,23090036,1346724718
bakery.jpg,3984x2880,503659988,1132643403,186940062,79940918,36779025,1939963396
earth.jpg,7680x4320,1593317847,3017352720,471342090,373771104,192217536,5648001297
mountain.jpg,1792x1024,76458746,189901838,27775185,9819850,6020344,309975963
female.jpg,1920x1072,85645127,207447602,29567622,9635373,4431075,336726799
cupoi.jpg,5952x3648,956364409,2356822440,501770222,206378111,91263300,4112598482
