# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'branch-instructions'
# Event count (approx.): 4634416811
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    16.71%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.38%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
    10.01%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.80%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.16%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.06%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.48%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.44%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.19%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     2.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.99%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.95%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.76%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.73%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.54%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.53%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.52%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.52%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.52%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.50%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.50%  test     [kernel.kallsyms]             [k] release_pages
     0.47%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.45%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.44%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.38%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.35%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.34%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.33%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.32%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.32%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.31%  test     [kernel.kallsyms]             [k] rmqueue
     0.30%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.30%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.30%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.29%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.29%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.28%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.27%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.27%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.27%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.27%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.26%  test     [kernel.kallsyms]             [k] __free_one_page
     0.26%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.26%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.26%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.25%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.25%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.25%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.25%  test     test                          [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     0.24%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.24%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.24%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.24%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.23%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.23%  test     [kernel.kallsyms]             [k] lru_add_fn
     0.23%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.23%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.23%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.23%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.22%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.22%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.22%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.21%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.21%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.21%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.20%  test     [kernel.kallsyms]             [k] up_read
     0.20%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.20%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.20%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.20%  test     [kernel.kallsyms]             [k] charge_memcg
     0.20%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.19%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.18%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.18%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.18%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.17%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.17%  test     libm.so.6                     [.] __atanf
     0.17%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.16%  test     [kernel.kallsyms]             [k] mas_walk
     0.16%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.16%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.16%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.16%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.15%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.15%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.15%  test     test                          [.] PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}::operator()() const
     0.14%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.14%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.13%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.13%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.12%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.12%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.12%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.12%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.11%  test     test                          [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.11%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.10%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.09%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.09%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.08%  test     [kernel.kallsyms]             [k] sync_regs
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.08%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.08%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.07%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e24
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.07%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.07%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.07%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.06%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.06%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.06%  test     [kernel.kallsyms]             [k] __filemap_add_folio
