# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'branch-instructions'
# Event count (approx.): 4602704174
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  .......  ............................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.16%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.51%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
     9.97%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.58%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.24%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.13%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.38%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     2.35%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.18%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     1.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     1.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.99%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.81%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.77%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.54%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.54%  test     [kernel.kallsyms]             [k] __handle_mm_fault
