# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'branch-instructions'
# Event count (approx.): 4576285169
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..........................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    16.74%  test     test                        [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.55%  test     test                        [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
    10.14%  test     test                        [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.71%  test     libjpeg.so.8.2.2            [.] 0x00000000000059dd
     3.31%  test     test                        [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.05%  test     test                        [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.71%  test     test                        [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.32%  test     libjpeg.so.8.2.2            [.] 0x00000000000059da
     2.16%  test     libjpeg.so.8.2.2            [.] 0x00000000000059d3
     2.16%  test     libjpeg.so.8.2.2            [.] 0x00000000000059d7
     1.16%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7b8
     1.13%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7bb
     0.99%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7d8
     0.81%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7d5
     0.71%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6a0
     0.57%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7a0
     0.53%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7b0
     0.52%  test     [kernel.kallsyms]           [k] __handle_mm_fault
     0.51%  test     [kernel.kallsyms]           [k] release_pages
     0.49%  test     libjpeg.so.8.2.2            [.] 0x0000000000008e01
     0.48%  test     [kernel.kallsyms]           [k] zap_pte_range
     0.47%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6a2
     0.43%  test     [kernel.kallsyms]           [k] mtree_range_walk
     0.40%  test     [kernel.kallsyms]           [k] handle_mm_fault
     0.40%  test     [kernel.kallsyms]           [k] lru_gen_add_folio
     0.37%  test     test                        [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.32%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7cd
     0.32%  test     [kernel.kallsyms]           [k] __free_one_page
     0.30%  test     [kernel.kallsyms]           [k] vma_alloc_folio
     0.29%  test     libjpeg.so.8.2.2            [.] 0x00000000000059d0
     0.29%  test     [kernel.kallsyms]           [k] clear_page_erms
     0.29%  test     libjpeg.so.8.2.2            [.] 0x0000000000007500
     0.29%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6a9
     0.28%  test     libjpeg.so.8.2.2            [.] 0x00000000000271db
     0.27%  test     test                        [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     0.27%  test     [kernel.kallsyms]           [k] exit_to_user_mode_prepare
     0.27%  test     libjpeg.so.8.2.2            [.] 0x0000000000027222
     0.27%  test     libjpeg.so.8.2.2            [.] 0x0000000000015613
     0.26%  test     [kernel.kallsyms]           [k] __alloc_pages
     0.26%  test     test                        [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.26%  test     libjpeg.so.8.2.2            [.] jpeg_fill_bit_buffer
     0.26%  test     [kernel.kallsyms]           [k] rmqueue
     0.25%  test     libjpeg.so.8.2.2            [.] 0x000000000004bee4
     0.25%  test     [kernel.kallsyms]           [k] free_unref_page_prepare
     0.25%  test     [kernel.kallsyms]           [k] lru_gen_del_folio.constprop.0
     0.25%  test     libopencv_imgproc.so.4.9.0  [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.25%  test     [kernel.kallsyms]           [k] __rcu_read_lock
     0.24%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6c1
     0.24%  test     [kernel.kallsyms]           [k] _raw_spin_lock
     0.24%  test     [kernel.kallsyms]           [k] __rcu_read_unlock
     0.24%  test     [kernel.kallsyms]           [k] cgroup_rstat_updated
     0.24%  test     [kernel.kallsyms]           [k] __count_memcg_events
     0.23%  test     libjpeg.so.8.2.2            [.] 0x0000000000027942
     0.23%  test     libjpeg.so.8.2.2            [.] 0x000000000003d540
     0.22%  test     [kernel.kallsyms]           [k] lock_vma_under_rcu
     0.22%  test     [kernel.kallsyms]           [k] get_page_from_freelist
     0.22%  test     [kernel.kallsyms]           [k] folio_add_new_anon_rmap
     0.22%  test     [kernel.kallsyms]           [k] percpu_counter_add_batch
     0.21%  test     libjpeg.so.8.2.2            [.] 0x000000000004be7f
     0.21%  test     libjpeg.so.8.2.2            [.] 0x000000000001558b
     0.21%  test     libjpeg.so.8.2.2            [.] 0x0000000000027200
