# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4500423953
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ............................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.50%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.64%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
    10.29%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.62%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.36%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.25%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.60%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.28%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.25%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     2.10%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     1.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     1.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.97%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.78%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.75%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.69%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.65%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.57%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.56%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.55%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.52%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.46%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.39%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.35%  test     [kernel.kallsyms]             [k] release_pages
     0.35%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.34%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.34%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.33%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.32%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.31%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.29%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.29%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.29%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.27%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.27%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.26%  test     [kernel.kallsyms]             [k] __free_one_page
     0.26%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.26%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.26%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.25%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.25%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.25%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.25%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.24%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.24%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.23%  test     [kernel.kallsyms]             [k] charge_memcg
     0.23%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.23%  test     [kernel.kallsyms]             [k] rmqueue
     0.23%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.23%  test     test                          [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     0.23%  test     libm.so.6                     [.] __atanf
     0.22%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.22%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.21%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.21%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.21%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.21%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.20%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.20%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.19%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.19%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.19%  test     [kernel.kallsyms]             [k] mas_walk
     0.19%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.19%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.19%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
