# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'branch-instructions'
# Event count (approx.): 4608900479
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ............................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.27%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.42%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
     9.91%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.85%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.25%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.15%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.25%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     2.24%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.20%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     2.10%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     1.00%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.96%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.75%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.74%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.62%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.57%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.55%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.54%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.53%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.52%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.51%  test     [kernel.kallsyms]             [k] release_pages
     0.49%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.42%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.40%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.39%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.39%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.36%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.36%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.36%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.32%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.31%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.30%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.30%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.30%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.29%  test     [kernel.kallsyms]             [k] rmqueue
     0.29%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.29%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.28%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.28%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.26%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.26%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.26%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.25%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.25%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.25%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.25%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.24%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.24%  test     [kernel.kallsyms]             [k] charge_memcg
     0.24%  test     libm.so.6                     [.] __atanf
     0.24%  test     test                          [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     0.24%  test     [kernel.kallsyms]             [k] __free_one_page
     0.23%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.22%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.22%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.22%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.21%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.21%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.21%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.20%  test     [kernel.kallsyms]             [k] up_read
     0.20%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.20%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.19%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.19%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.19%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.18%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.18%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.18%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.18%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.18%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.18%  test     [kernel.kallsyms]             [k] lru_add_fn
     0.18%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.17%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.17%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.16%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.16%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.16%  test     [kernel.kallsyms]             [k] mas_walk
     0.16%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.16%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.15%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.15%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.15%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.15%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.15%  test     test                          [.] PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}::operator()() const
     0.14%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.14%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.14%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.14%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.14%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.13%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
