# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'branch-instructions'
# Event count (approx.): 4590508546
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.20%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.40%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
     9.93%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.73%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.28%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.13%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.64%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.23%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     2.20%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     2.11%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     1.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.89%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.84%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.64%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.60%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.57%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.55%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.52%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.50%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.50%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.48%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.48%  test     [kernel.kallsyms]             [k] release_pages
     0.47%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.41%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.37%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.36%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.35%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.34%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.34%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.31%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.31%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.30%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.30%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.30%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.30%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.30%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.29%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.29%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.29%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.27%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.26%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.25%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.25%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.25%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.25%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.25%  test     [kernel.kallsyms]             [k] rmqueue
     0.25%  test     test                          [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     0.24%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.24%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.23%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.23%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.23%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.23%  test     libm.so.6                     [.] __atanf
     0.22%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.22%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.22%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.22%  test     [kernel.kallsyms]             [k] __free_one_page
     0.22%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.21%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.20%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.20%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.20%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.20%  test     [kernel.kallsyms]             [k] charge_memcg
