# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'branch-instructions'
# Event count (approx.): 4554119415
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  .......  ............................  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    16.83%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.45%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
    10.07%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.89%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     3.25%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     3.12%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     2.80%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.37%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.36%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     2.26%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     1.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.90%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.74%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.71%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.62%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.57%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.56%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.56%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.53%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.49%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.42%  test     [kernel.kallsyms]             [k] release_pages
     0.42%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.41%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.38%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.37%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.34%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.31%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.31%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.30%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.29%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.28%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.28%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     0.28%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.27%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.27%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.27%  test     [kernel.kallsyms]             [k] rmqueue
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.26%  test     [kernel.kallsyms]             [k] __count_memcg_events
