# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
    37.31%  test     test                          [.] PThread::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(void*)#1}::operator()(void*) const
    11.94%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
     8.64%  test     test                          [.] PThread::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda(void*)#1}::operator()(void*) const
     2.74%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     2.54%  test     test                          [.] PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*)#1}::operator()(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*) const
     2.16%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.76%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     1.70%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.60%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     0.95%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.83%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.79%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.69%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.55%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.50%  test     [kernel.kallsyms]             [k] memset_orig
     0.48%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.41%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.39%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.38%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.37%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.27%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.24%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.24%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.22%  test     [kernel.kallsyms]             [k] release_pages
     0.22%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.21%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.21%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.21%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.20%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.19%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.18%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.17%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.17%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.17%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.16%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.16%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
