# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'branch-instructions'
# Event count (approx.): 6292847183
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                          
# ........  .......  ............................  ................................................................................................................................................................................................................................................................................................................................................................................
#
    37.70%  test     test                          [.] PThread::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(void*)#1}::operator()(void*) const
    12.58%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
     8.76%  test     test                          [.] PThread::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda(void*)#1}::operator()(void*) const
     2.77%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     2.65%  test     test                          [.] PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*)#1}::operator()(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*) const
     1.85%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     1.67%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     1.59%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.54%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     0.98%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.83%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.70%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.63%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.61%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.49%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.46%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.44%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.39%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.36%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.34%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.31%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.30%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.24%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.24%  test     [kernel.kallsyms]             [k] release_pages
     0.24%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.23%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.23%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.22%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.21%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.21%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.20%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.20%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.20%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.18%  test     libm.so.6                     [.] __atanf
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.17%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.16%  test     [kernel.kallsyms]             [k] rmqueue
     0.16%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.16%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.16%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.16%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.16%  test     test                          [.] PThread::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(void*)#1}::operator()(void*) const
     0.16%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.15%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.15%  test     [kernel.kallsyms]             [k] up_read
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.15%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.15%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.14%  test     [kernel.kallsyms]             [k] __free_one_page
     0.14%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.14%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.13%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.13%  test     test                          [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.13%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.13%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.13%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.13%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.13%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.12%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.12%  test     [kernel.kallsyms]             [k] lru_add_fn
     0.12%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.12%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.12%  test     [kernel.kallsyms]             [k] memset_orig
     0.12%  test     [kernel.kallsyms]             [k] mas_walk
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.11%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.11%  test     [kernel.kallsyms]             [k] charge_memcg
     0.11%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.10%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.10%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.10%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.10%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.10%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.10%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.09%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.09%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.09%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.09%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.09%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.09%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.09%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.08%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.08%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
