# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'branch-instructions'
# Event count (approx.): 4354894864
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
    18.08%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
    11.98%  test     test                          [.] SIMD::AVX::A512::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)
     7.04%  test     test                          [.] SIMD::AVX::A512::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)
     3.93%  test     test                          [.] SIMD::AVX::A512::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)
     3.90%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     2.79%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     2.41%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     2.38%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     2.19%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     1.19%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     1.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     1.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.89%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.85%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.72%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.59%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.56%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.54%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.54%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.49%  test     [kernel.kallsyms]             [k] release_pages
     0.49%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.47%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.45%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.45%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.41%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     0.38%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.37%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.37%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
