# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'branch-instructions'
# Event count (approx.): 5149121607
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ............................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    15.37%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
     8.43%  test     test                          [.] OneAPI::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda(tbb::detail::d1::blocked_range2d<int, int> const&)#1}::operator()(tbb::detail::d1::blocked_range2d<int, int> const&) const
     3.28%  test     test                          [.] OneAPI::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int)#1}::operator()(int) const
     3.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     2.90%  test     test                          [.] OneAPI::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int)#1}::operator()(int) const
     2.88%  test     test                          [.] OneAPI::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int)#2}::operator()(int) const
     2.77%  test     test                          [.] OneAPI::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)
     2.37%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     1.98%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.97%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.94%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     1.16%  test     [kernel.kallsyms]             [k] _raw_spin_lock
     1.02%  test     [kernel.kallsyms]             [k] pick_next_task_fair
     0.93%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.88%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.84%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.80%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.71%  test     [kernel.kallsyms]             [k] __schedule
     0.70%  test     test                          [.] OneAPI::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int)#3}::operator()(int) const
     0.68%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.65%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.65%  test     [kernel.kallsyms]             [k] update_curr
     0.64%  test     test                          [.] tbb::detail::d2::concurrent_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::internal_try_pop(void*)
     0.61%  test     test                          [.] void tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::push<int const&>(unsigned long, tbb::detail::d2::concurrent_queue_rep<int, tbb::detail::d1::cache_aligned_allocator<int> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<int, tbb::detail::d1::cache_aligned_allocator<int> > >&, int const&)
     0.55%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.55%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.53%  test     [kernel.kallsyms]             [k] __calc_delta
     0.44%  test     test                          [.] std::operator&(std::memory_order, std::__memory_order_modifier)
     0.44%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.44%  test     [kernel.kallsyms]             [k] do_sched_yield
     0.42%  test     [kernel.kallsyms]             [k] native_sched_clock
     0.42%  test     test                          [.] tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::pop(void*, unsigned long, tbb::detail::d2::concurrent_queue_rep<int, tbb::detail::d1::cache_aligned_allocator<int> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<int, tbb::detail::d1::cache_aligned_allocator<int> > >&)
     0.42%  test     [kernel.kallsyms]             [k] pick_next_entity
     0.40%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.40%  test     [kernel.kallsyms]             [k] entry_SYSCALL_64
     0.39%  test     [kernel.kallsyms]             [k] raw_spin_rq_lock_nested
     0.39%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.38%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.38%  test     [kernel.kallsyms]             [k] cpuacct_charge
     0.36%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.36%  test     [kernel.kallsyms]             [k] handle_mm_fault
     0.36%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.36%  test     test                          [.] tbb::detail::d2::micro_queue_pop_finalizer<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >, int, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page> >::~micro_queue_pop_finalizer()
     0.34%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.33%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.31%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.30%  test     [kernel.kallsyms]             [k] update_rq_clock
     0.30%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.29%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.29%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a9
     0.28%  test     [kernel.kallsyms]             [k] update_min_vruntime
     0.28%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.27%  test     [kernel.kallsyms]             [k] syscall_return_via_sysret
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.27%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.26%  test     test                          [.] std::__atomic_base<unsigned long>::operator++(int)
     0.26%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.25%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.25%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.24%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.24%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.24%  test     [kernel.kallsyms]             [k] release_pages
     0.23%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ca
     0.23%  test     test                          [.] OneAPI::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(int)#1}::operator()(int) const
     0.23%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.22%  test     [kernel.kallsyms]             [k] __alloc_pages
     0.22%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.22%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.21%  test     [kernel.kallsyms]             [k] rmqueue
     0.21%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.21%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.20%  test     test                          [.] std::atomic<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page*>::load(std::memory_order) const
     0.20%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.20%  test     [kernel.kallsyms]             [k] __count_memcg_events
     0.20%  test     libm.so.6                     [.] __atanf
     0.19%  test     [kernel.kallsyms]             [k] syscall_exit_to_user_mode
     0.19%  test     [kernel.kallsyms]             [k] vma_alloc_folio
     0.19%  test     test                          [.] std::__atomic_base<unsigned long>::operator unsigned long() const
     0.19%  test     [kernel.kallsyms]             [k] schedule
     0.19%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer
     0.17%  test     [kernel.kallsyms]             [k] __free_one_page
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.17%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.17%  test     [kernel.kallsyms]             [k] fpregs_assert_state_consistent
     0.17%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.17%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.17%  test     test                          [.] tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::prepare_page(unsigned long, tbb::detail::d2::concurrent_queue_rep<int, tbb::detail::d1::cache_aligned_allocator<int> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page>, tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page*&)
     0.17%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.17%  test     [kernel.kallsyms]             [k] pick_next_task
     0.17%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.17%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.16%  test     test                          [.] tbb::detail::d1::blocked_range2d<int, int>::cols() const
     0.16%  test     test                          [.] decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page> >::construct<int, int const&>(tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<int, tbb::detail::d1::cache_aligned_allocator<int> >::padded_page>&, int*, int const&)
     0.16%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.16%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.15%  test     [kernel.kallsyms]             [k] up_read
     0.15%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.15%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.15%  test     [kernel.kallsyms]             [k] __cgroup_account_cputime
     0.15%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.15%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.14%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.14%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.14%  test     [kernel.kallsyms]             [k] charge_memcg
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.14%  test     [kernel.kallsyms]             [k] rmqueue_bulk
