Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,241039,523506,240152,471248,350437,1826382
cube.jpg,1024x1792,1318734,2840829,1759991,341049,2514616,8775219
build.jpg,1312x1920,1730388,3757147,2385447,392539,3785332,12050853
dog.jpg,480x640,273460,586884,224209,62020,434372,1580945
street.jpg,1920x1280,1728214,3553100,2368510,379374,6871223,14900421
car.jpg,1280x720,656570,1383495,630634,107187,811749,3589635
lake.jpg,1280x848,756080,1560897,756558,120708,2145011,5339254
platinum.jpg,2016x2864,4545917,8682264,6631551,1239118,7785546,28884396
cat.jpg,1280x848,909053,1690303,774911,116948,1591989,5083204
car2.jpg,2560x1440,2575914,5145878,3456033,703099,6204256,18085180
female2.jpg,3840x2160,7266140,11905664,9618872,1946262,11711713,42448651
bakery.jpg,3984x2880,12881666,17092776,13470758,2719831,14388664,60553695
earth.jpg,7680x4320,36882126,49576243,39244419,7620384,44918525,178241697
mountain.jpg,1792x1024,1242542,2504314,1546834,284188,2875904,8453782
female.jpg,1920x1072,1409980,2812391,1699189,368742,2309598,8599900
cupoi.jpg,5952x3648,24331983,33048394,25854411,5186858,37823996,126245642
