Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,474666,1225365,310923,145482,530460,2686896
cube.jpg,1024x1792,2272429,5815990,1715204,496086,2330247,12629956
build.jpg,1312x1920,2702688,7145182,2291792,578296,2739054,15457012
dog.jpg,480x640,409866,1126684,262682,132432,500187,2431851
street.jpg,1920x1280,2399143,6191926,2006710,541972,5354314,16494065
car.jpg,1280x720,1103308,2719344,727405,290220,927660,5767937
lake.jpg,1280x848,1146352,3252677,833127,276774,2364767,7873697
platinum.jpg,2016x2864,5865279,15205763,5915223,1438280,5838457,34263002
cat.jpg,1280x848,1017643,2992207,572740,255508,1821991,6660089
car2.jpg,2560x1440,3928194,10187776,3461018,756947,5059846,23393781
female2.jpg,3840x2160,7780690,20035636,8103040,1829198,7814371,45562935
bakery.jpg,3984x2880,13500784,29182456,12022711,2567067,9540392,66813410
earth.jpg,7680x4320,38653416,78774086,34870567,7093869,29855037,189246975
mountain.jpg,1792x1024,2027499,5263915,1652685,402298,2872034,12218431
female.jpg,1920x1072,2261524,5779892,1643908,461998,1917872,12065194
cupoi.jpg,5952x3648,25761107,53506864,22576634,4630321,26466427,132941353
