Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1885655,1988356,1348079,996995,1375375,7594460
cube.jpg,1024x1792,6725349,6205351,2415234,1467993,3856071,20669998
build.jpg,1312x1920,7598866,7196485,2809268,1557483,4724564,23886666
dog.jpg,480x640,1703416,2044230,1663059,1016242,1240354,7667301
street.jpg,1920x1280,7531469,6983870,2883768,1517587,7617538,26534232
car.jpg,1280x720,3533071,3312845,1518219,1089838,1773129,11227102
lake.jpg,1280x848,3708284,3498553,1527571,1232519,2955573,12922500
platinum.jpg,2016x2864,16640803,15595684,7130281,2221962,6213070,47801800
cat.jpg,1280x848,3913238,3677630,1546206,1230342,2778126,13145542
car2.jpg,2560x1440,10746788,10324082,4523290,1839461,6303791,33737412
female2.jpg,3840x2160,23028731,21896046,10115709,2710992,11359195,69110673
bakery.jpg,3984x2880,32595489,29651600,14253195,3586762,10919258,91006304
earth.jpg,7680x4320,89008696,83612578,39000134,8431657,36348920,256401985
mountain.jpg,1792x1024,5739934,5151474,2343092,1423001,3817173,18474674
female.jpg,1920x1072,6789991,6297119,2497237,1335472,2511804,19431623
cupoi.jpg,5952x3648,62579256,59139860,25745189,5931173,37860873,191256351
