Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,9103230,1087227,654078,119927,1607472,12571934
cube.jpg,1024x1792,1546326,2776465,3095851,357601,8150499,15926742
build.jpg,1312x1920,2027328,4523359,4687852,559234,7662427,19460200
dog.jpg,480x640,511604,1402617,334372,84437,2154634,4487664
street.jpg,1920x1280,1666990,3632296,4697918,451325,31545773,41994302
car.jpg,1280x720,682437,5630097,858610,205439,1769984,9146567
lake.jpg,1280x848,789180,1570414,1013146,259269,30434910,34066919
platinum.jpg,2016x2864,5016446,10255256,11649322,1358334,20201402,48480760
cat.jpg,1280x848,5274134,1777585,963385,211059,8833349,17059512
car2.jpg,2560x1440,2527246,5641271,7049862,999575,26654949,42872903
female2.jpg,3840x2160,7399934,12894281,16650240,1806390,36880687,75631532
bakery.jpg,3984x2880,13377319,17518272,22386569,2450740,29698715,85431615
earth.jpg,7680x4320,39922455,56426767,64046604,6947678,114349024,281692528
mountain.jpg,1792x1024,5871746,3585594,4108150,704087,12380869,26650446
female.jpg,1920x1072,9962325,4002365,8229113,490251,4095651,26779705
cupoi.jpg,5952x3648,30330935,39057089,43364906,4878684,182537379,300168993
