Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1581361,480616,427243,31937,858744,3379901
cube.jpg,1024x1792,1077841,2441097,25774832,384179,5204784,34882733
build.jpg,1312x1920,1661328,3301624,3901844,214412,37049413,46128621
dog.jpg,480x640,13716860,460384,213070,17121,511659,14919094
street.jpg,1920x1280,1218380,3697468,4573706,1680002,18027413,29196969
car.jpg,1280x720,461168,1108220,1040660,48996,1095372,3754416
lake.jpg,1280x848,39854042,1328367,763489,55287,2144312,44145497
platinum.jpg,2016x2864,4074815,7913647,12593513,1058153,11160318,36800446
cat.jpg,1280x848,1806266,1320330,788963,78360,1654889,5648808
car2.jpg,2560x1440,2159072,8501714,6252010,590381,12504736,30007913
female2.jpg,3840x2160,7716109,14051101,18265643,1565358,16823145,58421356
bakery.jpg,3984x2880,13909727,16415987,25016524,2376374,20763611,78482223
earth.jpg,7680x4320,37958444,50682495,63973320,6555465,72094908,231264632
mountain.jpg,1792x1024,2653702,2404912,1612435,95958,7910884,14677891
female.jpg,1920x1072,1054366,2558581,1650817,117671,3095805,8477240
cupoi.jpg,5952x3648,24360888,31310876,44140047,4291361,43709396,147812568
