Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1359414,6469599,248315,118632,355343,8551303
cube.jpg,1024x1792,1754145,3283481,1267951,349642,1717288,8372507
build.jpg,1312x1920,5581757,3847176,1693467,950803,2062061,14135264
dog.jpg,480x640,1763405,1199434,280890,933827,363858,4541414
street.jpg,1920x1280,4330526,4357879,1838059,546372,5153400,16226236
car.jpg,1280x720,1700947,4608014,558180,240564,603507,7711212
lake.jpg,1280x848,17442042,2153279,903626,519807,1682338,22701092
platinum.jpg,2016x2864,5332088,10485419,6342704,1370804,4894990,28426005
cat.jpg,1280x848,8537291,2069127,1043310,259147,1316242,13225117
car2.jpg,2560x1440,4095800,6201552,3138445,869791,3951918,18257506
female2.jpg,3840x2160,6587466,13810870,8865256,1773284,6555809,37592685
bakery.jpg,3984x2880,11996030,21057633,12494976,2407597,8146691,56102927
earth.jpg,7680x4320,37132124,58264791,36743866,7016183,25141201,164298165
mountain.jpg,1792x1024,14784304,3122582,1008825,395340,2090004,21401055
female.jpg,1920x1072,6012538,2815465,1118095,433849,1151379,11531326
cupoi.jpg,5952x3648,22368864,40118197,23502498,5190902,20747920,111928381
