Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1874906,1820576,1001427,1257515,1150436,7104860
cube.jpg,1024x1792,4745052,5169787,2600346,1835697,3526784,17877666
build.jpg,1312x1920,6102162,7938034,3068638,1809049,4818498,23736381
dog.jpg,480x640,1997345,2103812,1710465,931277,1128969,7871868
street.jpg,1920x1280,9563755,8618997,3342715,2645548,9079076,33250091
car.jpg,1280x720,3351312,3349923,1739547,1719138,2013762,12173682
lake.jpg,1280x848,3959525,3981164,2960692,1387727,3432345,15721453
platinum.jpg,2016x2864,13485706,15885968,7147093,2745974,7755426,47020167
cat.jpg,1280x848,3670096,3745119,2235851,1922185,3197732,14770983
car2.jpg,2560x1440,9604464,9570784,3994596,2107125,6556451,31833420
female2.jpg,3840x2160,18452836,21008665,10354380,3394076,17064391,70274348
bakery.jpg,3984x2880,22256063,23829457,13334536,3277201,11874327,74571584
earth.jpg,7680x4320,69857778,67693949,37708838,15977403,46481283,237719251
mountain.jpg,1792x1024,5010879,4945972,2351674,1886053,3486444,17681022
female.jpg,1920x1072,6294509,5242596,2588463,1795581,2829291,18750440
cupoi.jpg,5952x3648,38269041,69836057,27956132,8881780,28016075,172959085
