Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,4121706,3122377,1491832,329581,417658,9483154
cube.jpg,1024x1792,17301244,6447947,7387687,583964,1137832,32858674
build.jpg,1312x1920,21080115,5612702,11532267,697648,500002,39422734
dog.jpg,480x640,2483195,1484269,1126930,152127,182253,5428774
street.jpg,1920x1280,18927886,7166224,9903260,715120,1451440,38163930
car.jpg,1280x720,9174496,6739116,2606830,310972,195815,19027229
lake.jpg,1280x848,10069961,6053262,3160870,395619,466911,20146623
platinum.jpg,2016x2864,37975734,12560992,23409703,1438039,2853784,78238252
cat.jpg,1280x848,10090999,5393730,3121648,352880,429689,19388946
car2.jpg,2560x1440,29522320,8767450,14022372,1165613,1960294,55438049
female2.jpg,3840x2160,51674500,16971776,33865457,2425512,2097407,107034652
bakery.jpg,3984x2880,77173958,23742485,45930437,2306629,5392336,154545845
earth.jpg,7680x4320,209366618,74311592,121593577,6700639,13096544,425068970
mountain.jpg,1792x1024,16438000,6171883,4922698,562837,491607,28587025
female.jpg,1920x1072,17052818,5819491,6188755,556621,365961,29983646
cupoi.jpg,5952x3648,146447133,53501268,80611085,5257602,10095811,295912899
