Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1712914,4781613,946582,198020,274697,7913826
cube.jpg,1024x1792,7892341,24180201,6573336,1352074,1527030,41524982
build.jpg,1312x1920,11389530,34535071,8147983,1793262,1373438,57239284
dog.jpg,480x640,1066029,4391740,670512,127369,174572,6430222
street.jpg,1920x1280,10154966,35097320,8282712,1283448,2124982,56943428
car.jpg,1280x720,3401076,12672872,2978235,668307,391355,20111845
lake.jpg,1280x848,5309249,18035412,3452125,805438,813729,28415953
platinum.jpg,2016x2864,27188621,74393796,17921486,2923626,2634171,125061700
cat.jpg,1280x848,4068031,13906574,2556831,573973,711719,21817128
car2.jpg,2560x1440,15862582,47534542,10263906,2199097,1877435,77737562
female2.jpg,3840x2160,42979507,123563308,26481887,5695496,5183770,203903968
bakery.jpg,3984x2880,55706154,149202183,36557942,8753771,7240041,257460091
earth.jpg,7680x4320,162668192,414945206,100961211,23950022,17080077,719604708
mountain.jpg,1792x1024,7438515,23078876,4172688,1198158,1056219,36944456
female.jpg,1920x1072,7873111,25555896,4608190,1015903,589579,39642679
cupoi.jpg,5952x3648,107589865,280925087,67411805,15850749,14118220,485895726
